id,name,category,gender,follower_count,platform
1,Allison Hill,Fitness,Male,126958,Twitter
2,Noah Rhodes,Lifestyle,Male,676155,Instagram
3,Angie Henderson,Nutrition,Other,136932,Instagram
4,Daniel Wagner,Fitness,Other,370838,YouTube
5,Cristian Santos,Fitness,Male,264178,Instagram
6,Connie Lawrence,Nutrition,Male,649167,Twitter
7,Abigail Shaffer,Fitness,Other,115268,Instagram
8,Gina Moore,Wellness,Male,737180,YouTube
9,Gabrielle Davis,Lifestyle,Male,59886,Instagram
10,Ryan Munoz,Wellness,Female,142337,YouTube
11,Monica Herrera,Nutrition,Male,526430,YouTube
12,Jamie Arnold,Fitness,Male,959698,YouTube
13,Lisa Hensley,Fitness,Female,92498,YouTube
14,Michele Williams,Lifestyle,Male,904159,Twitter
15,Dylan Miller,Wellness,Other,917756,Instagram
16,Brian Ramirez,Wellness,Male,180203,Twitter
17,Holly Wood,Lifestyle,Other,196335,Twitter
18,Derek Zuniga,Lifestyle,Other,283167,Instagram
19,Lisa Jackson,Fitness,Male,46090,Twitter
20,Carla Gray,Nutrition,Female,334365,Instagram
21,Margaret Hawkins DDS,Nutrition,Male,69820,YouTube
22,Patty Perez,Lifestyle,Female,792201,Twitter
23,Ethan Adams,Lifestyle,Male,326879,YouTube
24,Tommy Walter,Lifestyle,Male,723315,Twitter
25,Matthew Foster,Lifestyle,Other,332069,Twitter
26,Judy Baker,Fitness,Other,781997,Twitter
27,Justin Baker,Nutrition,Other,204041,Twitter
28,Stephanie Ross,Nutrition,Male,796743,YouTube
29,Zachary Hicks,Wellness,Female,108355,Twitter
30,Anthony Rodriguez,Nutrition,Other,240796,YouTube
31,Rebecca Henderson,Fitness,Male,219176,Instagram
32,James Ferrell,Lifestyle,Female,189779,YouTube
33,Tricia Valencia,Fitness,Male,352449,Twitter
34,Nathan Maldonado,Lifestyle,Male,426909,Twitter
35,Debra Davidson,Wellness,Female,994436,Twitter
36,Jeffrey Chavez,Wellness,Male,263795,YouTube
37,Sherri Baker,Nutrition,Male,491232,Twitter
38,Cassandra Gaines,Lifestyle,Other,922040,Twitter
39,Elizabeth Fowler,Wellness,Other,505186,YouTube
40,Brittany Farmer,Lifestyle,Male,161730,Instagram
41,Paula Moreno,Wellness,Male,875910,Instagram
42,Fred Smith,Fitness,Male,389681,Twitter
43,Sherry Decker,Nutrition,Other,154503,YouTube
44,Anthony Humphrey,Fitness,Female,659811,YouTube
45,Angelica Tucker,Wellness,Other,532035,YouTube
46,Philip Cannon,Fitness,Other,653143,Twitter
47,John Pierce,Fitness,Other,457366,Twitter
48,Shane Henderson,Lifestyle,Other,70725,YouTube
49,Joshua Blair,Fitness,Female,134981,YouTube
50,Eric Carney,Nutrition,Female,89654,Instagram
51,Jessica Holmes,Lifestyle,Other,958277,Instagram
52,Danny Morgan,Fitness,Other,910778,YouTube
53,Crystal Robinson,Nutrition,Male,596723,YouTube
54,Mark Perez,Nutrition,Other,324030,Twitter
55,Shannon Jones,Fitness,Other,333947,YouTube
56,Michael Lewis,Wellness,Male,560839,Instagram
57,Timothy Duncan,Lifestyle,Female,907648,Instagram
58,Richard Aguirre,Fitness,Male,278538,Twitter
59,Brent Jordan,Fitness,Male,336236,Twitter
60,John Daniel,Wellness,Male,533178,Twitter
61,Victoria Garcia,Nutrition,Male,570894,Twitter
62,Gerald Hensley,Wellness,Other,494492,Instagram
63,Connor West,Lifestyle,Other,261840,Twitter
64,Donald Wright,Wellness,Male,478254,Twitter
65,Jessica Callahan,Nutrition,Other,354457,YouTube
66,Amber Kidd,Wellness,Other,670987,Twitter
67,Tracy House,Lifestyle,Female,275936,Twitter
68,Carol Tucker,Wellness,Male,244931,Instagram
69,James Brown,Nutrition,Male,244629,YouTube
70,William Baker,Fitness,Other,210041,Twitter
71,Jordan Henderson,Nutrition,Other,703361,Instagram
72,Whitney Peters,Fitness,Male,736912,Twitter
73,Brittney Phillips,Fitness,Male,422113,Instagram
74,Lauren Daniels,Fitness,Female,73148,Instagram
75,Amy Silva,Nutrition,Female,782089,Twitter
76,Sarah Moore,Wellness,Male,653531,Twitter
77,Angela Lopez,Nutrition,Other,256995,Twitter
78,Megan Young,Wellness,Male,911606,YouTube
79,Steve Sanchez,Wellness,Male,683843,Instagram
80,Lisa Barnes,Fitness,Other,915790,YouTube
81,Kelly Donovan,Lifestyle,Female,577843,YouTube
82,Mike Allen,Wellness,Other,261508,Instagram
83,Michael Evans,Fitness,Male,808591,YouTube
84,Paul Jones,Lifestyle,Male,901942,Instagram
85,Zachary Ferrell,Nutrition,Male,111530,Twitter
86,Daniel Baker,Wellness,Male,609365,YouTube
87,Shirley Suarez,Nutrition,Female,827352,YouTube
88,Christopher Bass,Nutrition,Male,465337,YouTube
89,Lisa Archer,Fitness,Male,729839,Twitter
90,Aimee Montoya,Fitness,Male,810889,Instagram
91,Matthew Mcmillan,Nutrition,Female,464773,YouTube
92,Brian Rodriguez,Wellness,Male,213261,YouTube
93,Denise Jacobs,Fitness,Male,769469,YouTube
94,Christina Walters,Fitness,Female,346097,YouTube
95,John Whitehead,Wellness,Female,320139,YouTube
96,Anna Henderson,Wellness,Male,176829,Instagram
97,Aaron Wise,Lifestyle,Male,276836,Instagram
98,Deborah Figueroa,Fitness,Other,443974,YouTube
99,Jessica Smith,Fitness,Male,994913,Twitter
100,Stephen Mckee,Wellness,Other,207283,Twitter
